attribute,value,fixed,tupleid
address1,50 MEDICAL PARK EAST DRIVE,t,217
address2,,t,217
address3,,t,217
city,BIRMINGHAM,f,217
state,AL,t,217
zip code,35235,f,217
county name,JEFFERSxN,t,217
phone number,2058383122,f,217
hospital type,Acute Care Hospitals,t,217
hospital owner,Volunxary non-profix - Privaxe,t,217
emergency service,Yes,t,217
condition,Surgical Infection Prevention,t,217
measure code,SCIP-INF-6,f,217
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,217
score,100%,t,217
sample,601 patients,t,217
stateavg,AL_SCIP-INF-6,t,217
provider number,10011,t,218
hospital name,ST VINCENT'S EAST,t,218
address1,50 MEDICAL PARK EAST DRIVE,t,218
address2,,t,218
address3,,t,218
city,BIRMINGHAM,f,218
state,AL,f,218
zip code,35235,f,218
county name,JEFFERSON,t,218
phone number,2058x8x122,t,218
hospital type,Acute Care Hospitals,t,218
hospital owner,Voluntary non-profit - Private,t,218
emergency service,Yes,t,218
condition,Surgical Infection Prevention,t,218
measure code,SCIP-VTE-1,f,218
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,218
score,89%,t,218
sample,229 patients,t,218
stateavg,AL_SCIP-VTE-1,f,218
provider number,10011,t,219
hospital name,ST VINCENT'S EAST,t,219
address1,50 MEDICAL PARK EAST DRIVE,t,219
address2,,t,219
address3,,t,219
city,BIRMINGHAM,f,219
state,AL,f,219
zip code,35235,f,219
county name,JEFFERSON,t,219
phone number,2058383122,f,219
hospital type,Acute Care Hospitals,t,219
hospital owner,Voluntary nonxprofit x Private,t,219
emergency service,Yes,t,219
condition,Surgical Infection Prevention,f,219
measure code,SCIP-VTE-2,f,219
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,219
score,83%,t,219
sample,224 patients,t,219
stateavg,AL_SCIP-VTE-2,f,219
provider number,10012,t,220
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,220
address1,200 MED CENTER DRIVE,t,220
address2,,t,220
address3,,t,220
city,FORT PAYNE,f,220
state,AL,f,220
zip code,35968,f,220
county name,DE KALB,t,220
phone number,2568453150,f,220
hospital type,Acute Care Hospitals,t,220
hospital owner,Voluntary non-profit - Church,t,220
emergency service,Yes,t,220
condition,Heart Attack,f,220
measure code,AMI-1,f,220
measure name,HeartxAttackxPatientsxGivenxAspirinxatxArrival,f,220
score,100%,t,220
sample,46 patients,t,220
stateavg,AL_AMI-1,f,220
provider number,10012,t,221
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,221
address1,200 MED CENTER DRIVE,t,221
address2,,t,221
address3,,t,221
city,FORT PAYNE,f,221
state,AL,f,221
county name,DE KALB,t,221
phone number,2568453150,f,221
hospital type,Acute Care Hospitals,t,221
hospital owner,Voluntary non-profit - Church,t,221
emergency service,Yes,t,221
condition,Heart Attack,f,221
measure code,AMI-2,f,221
measure name,Heart Attack Patients Given Aspirin at Discharge,f,221
score,95%,t,221
sample,39 patients,t,221
stateavg,AL_AMI-2,f,221
provider number,10012,t,222
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,222
address1,200 MED CENTER DRIVE,t,222
address2,,t,222
address3,,t,222
city,FORT PAYNE,f,222
state,AL,f,222
zip code,35968,f,222
county name,Dx KALB,t,222
phone number,2568453150,f,222
hospital type,Acute Care Hospitals,t,222
hospital owner,Voluntaryxnon-profitx-xChurch,t,222
emergency service,Yes,t,222
condition,Heart Attack,f,222
measure code,AMI-3,f,222
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,222
score,91%,t,222
sample,11 patients,t,222
stateavg,AL_AMI-3,t,222
provider number,10012,t,223
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,223
address1,200 MED CENTER DRIVE,t,223
address2,,t,223
address3,,t,223
city,FORT PAYNE,f,223
state,AL,f,223
zip code,35968,f,223
county name,DE KALB,t,223
phone number,2568453150,f,223
hospital type,Acute Care Hospitals,t,223
hospital owner,Voluntary non-profit - Church,t,223
emergency service,Yes,t,223
condition,Heart Attack,f,223
measure code,AMI-4,f,223
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,223
score,100%,t,223
sample,14 patients,t,223
stateavg,AL_AMI-4,t,223
provider number,10012,t,224
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,224
address1,200 MED CENTER DRIVE,t,224
address2,,t,224
address3,,t,224
city,FORT PAYNE,f,224
state,AL,f,224
zip code,35968,f,224
county name,xE KALB,t,224
phone number,2568453150,f,224
hospital type,Acute Care Hospitals,t,224
hospital owner,Voluntary non-profit - Church,t,224
emergency service,Yes,t,224
condition,Heart Attack,f,224
measure code,AMI-5,f,224
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,224
score,95%,t,224
sample,41 patients,t,224
stateavg,AL_AMI-5,f,224
provider number,10012,t,225
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,225
address1,200 MED CENTER DRIVE,t,225
address2,,t,225
address3,,t,225
city,FORT PAYNE,f,225
state,AL,f,225
zip code,35968,f,225
county name,DE KALB,t,225
phone number,2568453150,f,225
hospital type,Acute Care Hospitals,t,225
hospital owner,Voluntary non-profit - Church,t,225
emergency service,Yes,t,225
condition,Heart Attack,f,225
measure code,AMI-7A,f,225
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,225
score,100%,t,225
sample,1 patiexts,t,225
stateavg,AL_AMI-7A,f,225
provider number,10012,t,226
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,226
address1,200 MED CENTER DRIVE,t,226
address2,,t,226
address3,,t,226
city,FORT PAYNE,f,226
state,AL,f,226
zip code,35968,f,226
county name,DE KALB,t,226
phone number,2568453150,f,226
hospital type,Acute Care Hospitals,t,226
hospital owner,Voluntary non-profit - Church,t,226
emergency service,Yes,t,226
condition,Hexrt Attxck,f,226
measure code,AMI-8A,f,226
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,226
score,40%,t,226
sample,5 patients,t,226
stateavg,AL_AMI-8A,f,226
provider number,10012,t,227
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,227
address1,200 MED CENTER DRIVE,t,227
address2,,t,227
address3,,t,227
city,FORT PAYNE,f,227
state,AL,f,227
zip code,35968,f,227
county name,DE KALB,t,227
phone number,2568453150,f,227
hospital type,Acute Care Hospitals,t,227
hospital owner,Voluntary non-profit - Church,t,227
emergency service,Yes,t,227
condition,Heart Failure,f,227
measure code,HF-1,f,227
measure name,Heart Failure Patients Given Discharge Instructions,f,227
score,89%,t,227
sample,76 patients,t,227
stateavg,AL_HF-1,t,227
provider number,10012,t,228
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,228
address1,200 MED CENTER DRIVE,t,228
address2,,t,228
address3,,t,228
city,FORT PAYNE,f,228
state,AL,f,228
zip code,35968,f,228
county name,Dx KALB,t,228
phone number,2568453150,f,228
hospital type,Acute Care Hospitals,t,228
hospital owner,Voluntary non-profit - Church,t,228
emergency service,Yes,t,228
condition,Heart Failure,f,228
measure code,HF-2,f,228
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,228
score,100%,t,228
sample,94 patients,t,228
stateavg,AL_HF-2,f,228
provider number,10012,t,229
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,229
address1,200 MED CENTER DRIVE,t,229
address2,,t,229
address3,,t,229
city,FORT PAYxE,f,229
state,Ax,f,229
zip code,35968,f,229
county name,DE KALB,t,229
phone number,2568453x50,t,229
hospital type,Acute Care Hospitals,t,229
hospital owner,Voluntary non-profit - Church,t,229
emergency service,Yes,t,229
condition,Heart Failure,f,229
measure code,HF-3,f,229
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,229
score,94%,t,229
sample,36 patients,t,229
stateavg,AL_HF-3,t,229
provider number,10012,t,230
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,230
address1,200 MED CENTER DRIVE,t,230
address2,,t,230
address3,,t,230
city,FORT PAYNE,f,230
state,AL,f,230
zip code,35968,f,230
county name,DE KALB,t,230
phone number,2568453150,f,230
hospital type,Acute Care Hospitals,t,230
hospital owner,Voluntary non-profit - Church,t,230
emergency service,Yes,t,230
condition,Heart Faxlure,f,230
measure code,HF-4,f,230
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,230
score,100%,t,230
sample,15 patients,t,230
stateavg,AL_HF-4,f,230
provider number,10012,t,231
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,231
address1,200 MED CENTER DRIVE,t,231
address2,,t,231
address3,,t,231
city,FORT PAYNE,f,231
state,AL,f,231
zip code,35968,f,231
county name,DE KALB,t,231
phone number,2568453150,f,231
hospital type,Acute Care Hospitals,t,231
hospital owner,Voluntary non-profit - Church,t,231
emergency service,Yes,t,231
condition,Pneumonia,t,231
measure code,PN-2,f,231
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,231
score,97%,t,231
sample,69 patients,t,231
stateavg,AL_PN-2,f,231
provider number,10012,t,232
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,232
address1,200 MED CENTER DRIVE,t,232
address2,,t,232
address3,,t,232
city,FORT PAYNE,f,232
state,AL,f,232
zip code,35968,f,232
county name,DE KALB,t,232
phone number,2568453150,f,232
hospital type,Acute Care Hospitals,t,232
hospital owner,Voluntary non-profit - Church,t,232
emergency service,Yes,t,232
condition,Pneumonia,f,232
measure code,PN-3B,f,232
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,232
score,93%,t,232
sample,91 patients,t,232
stateavg,AL_PN-3B,f,232
provider number,10012,t,233
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,233
address1,200 MED CENTER DRIVE,t,233
address2,,t,233
address3,,t,233
city,FORT PAYNE,t,233
state,AL,t,233
zip code,359x8,f,233
county name,DE KALB,t,233
phone number,2568453150,f,233
hospital type,Acute Care Hospitals,t,233
hospital owner,Voluntary non-profit - Church,t,233
emergency service,Yes,t,233
condition,Pneumonia,f,233
measure code,PN-4,f,233
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,233
score,100%,t,233
sample,37 patients,t,233
stateavg,AL_PN-4,t,233
provider number,10012,t,234
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,234
address1,200 MED CENTER DRIVE,t,234
address2,,t,234
address3,,t,234
city,FORT PAYNE,f,234
state,AL,f,234
zip code,35968,f,234
county name,DE KALB,t,234
phone number,2568453150,f,234
hospital type,Acute Care Hospitals,t,234
hospital owner,Voluntary non-profit - Church,t,234
emergency service,Yes,t,234
condition,Pneumonia,f,234
measure code,PN-5C,f,234
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,234
score,99%,t,234
sample,88 patients,t,234
stateavg,AL_PN-5C,f,234
provider number,10012,t,235
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,235
address1,200 MED CENTER DRIVE,t,235
address2,,t,235
address3,,t,235
city,FORT PAYNE,f,235
state,AL,f,235
zip code,35968,f,235
county name,DE KALB,t,235
phone number,2568453150,f,235
hospital type,Acute Care Hospitals,t,235
hospital owner,Voluntary non-profit - Church,t,235
emergency service,Yes,t,235
condition,Pneumonia,f,235
measure code,PN-6,f,235
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,235
score,88%,t,235
sample,82 patientx,t,235
stateavg,AL_PN-6,f,235
provider number,10012,t,236
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,236
address1,200 MED CENTER DRIVE,t,236
address2,,t,236
address3,,t,236
city,FORT PAYNE,f,236
state,AL,f,236
zip code,35968,f,236
county name,DE KALB,t,236
phone number,2568453150,f,236
hospital type,Acute Care Hospitals,t,236
hospital owner,Voluntary non-profit - Church,t,236
emergency service,Yes,t,236
condition,Pneumonia,t,236
measure code,PN-7,f,236
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,236
score,98%,t,236
sample,56 patients,t,236
stateavg,AL_PN-7,f,236
provider number,10012,t,237
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,237
address1,200 MED CENTER DRIVE,t,237
address2,,t,237
address3,,t,237
city,FORT PAYNE,f,237
state,AL,f,237
zip code,35968,f,237
county name,DE KALB,t,237
phone number,2568453150,f,237
hospital type,Acute Care Hospitals,t,237
hospital owner,Voluntary non-profit - Church,t,237
emergency service,Yes,t,237
condition,Suxgical Infection Pxevention,f,237
measure code,SCIP-CARD-2,f,237
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,237
score,100%,t,237
sample,16 patients,t,237
stateavg,AL_SCIP-CARD-2,t,237
provider number,10012,t,238
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,238
address1,200 MED CENTER DRIVE,t,238
address2,,t,238
address3,,t,238
city,FORT PAYNE,f,238
state,AL,f,238
zip code,35968,f,238
county name,DE KALB,t,238
phone number,2568453150,f,238
hospital type,Acute Care Hospitals,t,238
hospital owner,Voluntary non-profit - Church,t,238
emergency service,Yes,t,238
condition,Surgical Infection Prevention,t,238
measure code,SCIP-INF-1,t,238
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,238
score,9x%,t,238
sample,139 patients,t,238
stateavg,AL_SCIP-INF-1,t,238
provider number,10012,t,239
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,239
address1,200 MED CENTER DRIVE,t,239
address2,,t,239
address3,,t,239
city,FORT PAYNE,f,239
state,AL,f,239
zip code,35968,f,239
county name,xE KALB,t,239
phone number,2568453150,f,239
hospital type,Acute Care Hospitals,t,239
hospital owner,Voxuntary non-profit - Church,t,239
emergency service,Yes,t,239
condition,Surgical Infection Prevention,f,239
measure code,SCIP-INF-2,f,239
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,239
score,xx%,t,239
sample,147 patients,t,239
stateavg,AL_SCIP-INF-2,f,239
provider number,10012,t,240
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,240
address1,200 MED CENTER DRIVE,t,240
address2,,t,240
address3,,t,240
city,FORT PAYNE,f,240
state,AL,f,240
zip code,35968,f,240
county name,DE KALB,t,240
phone number,2568453150,f,240
hospital type,Acute Care Hospitals,t,240
hospital owner,Voluntary non-profit - Church,t,240
emergency service,Yes,t,240
condition,Surgxcal Infectxon Preventxon,f,240
measure code,SCIP-INF-3,f,240
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,240
score,98%,t,240
sample,136 patients,t,240
stateavg,AL_SCIP-INF-3,t,240
provider number,10012,t,241
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,241
address1,200 MED CENTER DRIVE,t,241
address2,,t,241
address3,,t,241
city,FORT PAYNE,f,241
state,AL,f,241
zip code,35968,f,241
county name,DE KALB,t,241
phone number,2568453150,f,241
hospital type,Acute Care Hospitals,t,241
hospital owner,Voluntary non-profit - Church,t,241
emergency service,Yes,t,241
condition,Surgical Infection Prevention,f,241
measure code,SCIP-INF-4,f,241
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,241
score,,t,241
sample,0 patients,t,241
stateavg,AL_SCIP-INF-4,t,241
provider number,10012,t,242
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,242
address1,200 MED CENTER DRIVE,t,242
address2,,t,242
address3,,t,242
city,FORT PAYNE,f,242
state,AL,f,242
zip code,35968,f,242
county name,DE KALB,t,242
phone number,2568453150,f,242
hospital type,Acute Care Hospitals,t,242
hospital owner,Voluntary non-profit - Church,t,242
emergency service,Yes,t,242
condition,Surgical Infection Prevention,t,242
measure code,SCIP-INF-6,f,242
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,242
score,100%,t,242
sample,179 patients,t,242
stateavg,AL_SCIP-INF-6,t,242
provider number,10012,t,243
hospital name,DEKALB REGIONAL MEDICAL CENTER,t,243
address1,200 MED CENTER DRIVE,t,243
address2,,t,243
address3,,t,243
city,FORT PAYNE,f,243
state,AL,f,243
zip code,35968,f,243
county name,DE KALB,t,243
phone number,2568453150,f,243
hospital type,Acute Care Hospitals,t,243
hospital owner,Voluntary non-profit - Church,t,243
emergency service,Yes,t,243
condition,Surgical Infection Prevention,t,243
measure code,SCIP-VTE-1,f,243
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,243
score,97%,t,243
sample,90 patients,t,243
stateavg,AL_SCIP-VTE-1,f,243
provider number,10012,t,244
hospital name,DExALB REGIONAL MEDICAL CENTER,t,244
address1,200 MED CENTER DRIVE,t,244
address2,,t,244
address3,,t,244
city,FORT PAYNE,f,244
state,AL,f,244
zip code,35968,f,244
county name,DE KALB,t,244
phone number,2568453150,f,244
hospital type,Acute Care Hospitals,t,244
hospital owner,Voluntary non-profit - Church,t,244
emergency service,Yes,t,244
condition,Surgical Infection Prevention,f,244
measure code,SCIP-VTE-2,f,244
